model,modbus_address,parameter,unit,register_length,data_type,r_w,data_range,industry_standard,indb,setupRead,setupWrite,timestamp,read_command,write_command,value_weight,address
acurev-1313-5a-x0,5642,Input_active_power_rate2_max_demand_and_occur_time,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5644,Input_active_power_rate2_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
acurev-1313-5a-x0,5647,Input_active_power_rate3_max_demand_and_occur_time,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5649,Input_active_power_rate3_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
acurev-1313-5a-x0,5652,Input_active_power_rate4_max_demand_and_occur_time,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5654,Input_active_power_rate4_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
acurev-1313-5a-x0,5657,output_active_power_total_max_demand,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5659,output_active_power_total_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
acurev-1313-5a-x0,5662,output_active_power_rate1_max_demand ,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5664,output_active_power_rate1_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
acurev-1313-5a-x0,5667,output_active_power_rate2_max_demand ,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5669,output_active_power_rate2_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
acurev-1313-5a-x0,5672,output_active_power_rate3_max_demand ,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5674,output_active_power_rate3_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
acurev-1313-5a-x0,5677,output_active_power_rate4_max_demand ,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5679,output_active_power_rate4_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
acurev-1313-5a-x0,768,clock: year,,1,word,r,"[2000, 2099]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,769,clock: month,,1,word,r,,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,770,clock: date,,1,word,r,,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,771,clock: hour,,1,word,r,0-23,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,772,clock: minute,,1,word,r,0-59,sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,773,clock: second,,1,word,r,0-59,sunspec,f,f,f,f,3,,,
EM210-72D.MV5.3.X.OS.X,00,phase_voltage_an,V,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,2,phase_voltage_bn,V,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,4,phase_voltage_cn,V,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,6,phase_voltage_ab,V,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,8,phase_voltage_bc,V,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,10,phase_voltage_ca,V,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,12,amps_phase_a,A,1,int32,r,,,t,f,f,f,3,,1000,
EM210-72D.MV5.3.X.OS.X,14,amps_phase_b,A,1,int32,r,,,t,f,f,f,3,,1000,
EM210-72D.MV5.3.X.OS.X,16,amps_phase_c,A,1,int32,r,,,t,f,f,f,3,,1000,
EM210-72D.MV5.3.X.OS.X,18,watts_phase_a,W,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,20,watts_phase_b,W,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,22,watts_phase_c,W,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,24,va_phase_a,VA,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,26,va_phase_b,VA,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,28,va_phase_c,VA,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,30,var_phase_a,VAR,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,32,var_phase_b,VAR,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,34,var_phase_c,VAR,1,int32,r,,,t,f,f,f,3,,10,
